Name,Fingerprint,Flags,IP,OrPort,ObservedBW,GuardClients,DirClients,Uptime,Longitude,Latitude)
reb00z,0002CC5705DA854E4E771F240A385567F4A3C13D,MGH,155.4.197.206,9001,3.8077669999999997,,us:224|ru:216|de:120|fr:56|gb:40|jp:40|pl:40|ca:32|in:32|ua:32|??:24|br:24|md:24|au:16|bd:16|es:16|ir:16|it:16|nl:16|ro:16|se:16|ar:8|at:8|be:8|bh:8|bm:8|ch:8|cn:8|co:8|cz:8|dz:8|ee:8|fi:8|gr:8|hk:8|hu:8|ie:8|il:8|is:8|kr:8|kz:8|lt:8|lu:8|lv:8|no:8|pk:8|sa:8|sg:8|tn:8|tr:8|tw:8|ve:8|vn:8|za:8|zm:8,5414456,18.4956,59.3513
seele,000A10D43011EA4928A35F610405F92B4433B4DC,M,67.174.243.193,9001,0.11161599999999999,,,5,-122.262,37.7688
CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,MGEH,162.247.74.201,443,29.052844,us:96|id:64|jp:32|mx:32|au:24|ca:24|pl:24|ve:24|ar:16|bg:16|de:16|fr:16|in:16|ru:16|at:8|bd:8|be:8|bo:8|br:8|by:8|ch:8|cl:8|cn:8|co:8|cz:8|ec:8|ee:8|es:8|fi:8|gb:8|ge:8|gf:8|gr:8|hk:8|hr:8|hu:8|ir:8|it:8|jo:8|la:8|lb:8|lt:8|ma:8|md:8|mu:8|my:8|nl:8|nz:8|ph:8|pk:8|pt:8|ro:8|rs:8|sd:8|sk:8|sv:8|th:8|tn:8|tw:8|ua:8|uz:8|vn:8,fi:16|pl:16|ru:8|us:8,3323167,-97.822,37.751
snap277,00132336EC4734DD2B118065C5C0E07D165C5139,M,89.201.246.236,38843,0.099328,,,5,18.6951,45.5473
0x616e6f6e,0020D8A204A81FC8C8A1D79E2324621705DE4F2F,MGEH,178.17.170.116,443,9.538912,,,15940303,28.8574,47.0042
rotor25,00342C0E155D4542E55391788B2D779F14578DEB,MGH,188.24.52.184,9001,4.021568,,ru:240|us:224|de:120|ir:96|fr:72|gb:48|ua:48|in:32|nl:32|au:24|it:24|ro:24|ca:16|cz:16|il:16|jp:16|pl:16|se:16|sk:16|??:8|ae:8|at:8|az:8|be:8|bg:8|br:8|cl:8|cn:8|co:8|ec:8|ee:8|es:8|fi:8|ge:8|gr:8|ie:8|jo:8|kz:8|lu:8|lv:8|md:8|mx:8|my:8|no:8|nz:8|pe:8|pk:8|qa:8|rs:8|sa:8|sg:8|tj:8|tr:8|tw:8|ug:8|za:8,712928,23.5943,46.7657
Unnamed,003BE9FE8D21BDA2B01FC978BA76DD2D4C475EDE,MG,157.245.189.45,443,10.472448,,us:104|ru:80|de:72|fr:32|jp:32|br:24|es:24|ca:16|fi:16|gb:16|in:16|pl:16|ua:16|ar:8|at:8|au:8|be:8|bn:8|by:8|cz:8|dk:8|dz:8|gr:8|hk:8|hr:8|id:8|il:8|ir:8|it:8|kr:8|lb:8|lt:8|lv:8|ma:8|mk:8|ng:8|nl:8|pe:8|ph:8|rs:8|sa:8|se:8|sk:8|sv:8|tr:8|tw:8|uy:8|ve:8|vn:8|za:8,62,-121.9753,37.3417
xX0seamus0Xx,003BFA1B6CC5CBEFD5D0082F8FC9AF2A8868A8FB,MGH,188.214.132.49,9001,19.370282,,ru:1944|us:1688|de:760|fr:552|gb:448|ua:256|ca:192|in:192|jp:168|??:160|pl:152|es:144|nl:136|it:128|md:104|br:96|fi:88|au:72|ro:72|ae:64|cz:64|sg:64|ch:56|kr:48|mx:48|no:48|pt:48|ar:40|at:40|id:40|se:40|sk:40|za:40|be:32|by:32|il:32|my:32|nz:32|sa:32|th:32|tw:32|bg:24|dk:24|gr:24|hk:24|hr:24|hu:24|ie:24|ma:24|ph:24|bd:16|bo:16|bs:16|cl:16|cn:16|co:16|lt:16|lu:16|lv:16|pr:16|tr:16|ug:16|vn:16|al:8|am:8|ax:8|az:8|cg:8|ci:8|cr:8|cw:8|cy:8|dz:8|ec:8|ee:8|eg:8|et:8|ge:8|im:8|iq:8|ir:8|jm:8|jo:8|ke:8|kg:8|kw:8|kz:8|lb:8|lk:8|ly:8|mc:8|mg:8|mn:8|mr:8|ng:8|np:8|om:8|pa:8|pe:8|pg:8|pk:8|qa:8|rs:8|rw:8|sc:8|sd:8|sy:8|tc:8|tn:8|uy:8|ve:8|zm:8,19270895,24.0,55.4167
VSIFskylab,003D78825E0B9609EECFF5E4E0529717772E53C7,ME,104.218.63.73,443,8.334557,,fi:16|pl:8,324243,-79.3716,43.6319
helga,0059D92942DB3B84E52EB4D87E9F7B195CF4D005,MH,88.99.216.194,9001,7.161076,,us:24|ch:8|cz:8|de:8|fr:8|gb:8|in:8|ir:8|jp:8|nl:8|no:8|pl:8|ru:8|sg:8|ua:8,6458534,9.9132,53.5665
